datetime,busvoltage
2001:03:12 00:00:00 ,32.63422255
2001:03:12 03:00:00 ,32.61560514
2001:03:12 06:00:00 ,32.63764587
2001:03:12 09:00:00 ,32.65674317
2001:03:12 12:00:00 ,32.59255354
2001:03:12 15:00:00 ,32.58542625
2001:03:12 18:00:00 ,32.63514272
2001:03:12 21:00:00 ,32.60645126
2001:03:13 00:00:00 ,32.62121928
2001:03:13 03:00:00 ,32.62605568
2001:03:13 06:00:00 ,32.60975694
2001:03:13 09:00:00 ,32.66272545
2001:03:13 12:00:00 ,32.59875711
2001:03:13 15:00:00 ,32.63897509
2001:03:13 18:00:00 ,32.62100527
2001:03:13 21:00:00 ,32.62263653
2001:03:14 00:00:00 ,32.65783007
2001:03:14 03:00:00 ,32.59541642
2001:03:14 06:00:00 ,32.64495977
2001:03:14 09:00:00 ,32.62271638
2001:03:14 12:00:00 ,32.62114473
2001:03:14 15:00:00 ,32.66199617
2001:03:14 18:00:00 ,32.6111602
2001:03:14 21:00:00 ,32.63813861
2001:03:15 00:00:00 ,32.61179416
2001:03:15 03:00:00 ,32.62871199
2001:03:15 06:00:00 ,32.65244124
2001:03:15 09:00:00 ,32.60155437
2001:03:15 12:00:00 ,32.65801638
2001:03:15 15:00:00 ,32.60964324
2001:03:15 18:00:00 ,32.6293242
2001:03:15 21:00:00 ,32.63830527
2001:03:16 00:00:00 ,32.59791604
2001:03:16 03:00:00 ,32.66191638
2001:03:16 06:00:00 ,32.61312599
2001:03:16 09:00:00 ,32.61997194
2001:03:16 12:00:00 ,32.64999416
2001:03:16 15:00:00 ,32.62157535
2001:03:16 18:00:00 ,32.64998025
2001:03:16 21:00:00 ,32.61344256
2001:03:17 00:00:00 ,32.62490648
2001:03:17 03:00:00 ,32.63653305
2001:03:17 06:00:00 ,32.61549297
2001:03:17 09:00:00 ,32.64111605
2001:03:17 12:00:00 ,32.60926939
2001:03:17 15:00:00 ,32.63904416
2001:03:17 18:00:00 ,32.64435527
2001:03:17 21:00:00 ,32.60912092
2001:03:18 00:00:00 ,32.65242749
2001:03:18 03:00:00 ,32.60132256
2001:03:18 06:00:00 ,32.63022194
2001:03:18 09:00:00 ,32.63244814
2001:03:18 12:00:00 ,32.60757194
2001:03:18 15:00:00 ,32.63588876
2001:03:18 18:00:00 ,32.60387104
2001:03:18 21:00:00 ,32.64182673
2001:03:19 00:00:00 ,32.62240659
2001:03:19 03:00:00 ,32.60678861
2001:03:19 06:00:00 ,32.63666083
2001:03:19 09:00:00 ,32.59351174
2001:03:19 12:00:00 ,32.63891638
2001:03:19 15:00:00 ,32.63966022
2001:03:19 18:00:00 ,32.64739972
2001:03:19 21:00:00 ,32.65951083
2001:03:20 00:00:00 ,32.59780891
2001:03:20 03:00:00 ,32.64926638
2001:03:20 06:00:00 ,32.62124802
2001:03:20 09:00:00 ,32.63336638
2001:03:20 12:00:00 ,32.66444589
2001:03:20 15:00:00 ,32.63132194
2001:03:20 18:00:00 ,32.67454972
2001:03:20 21:00:00 ,32.62372755
2001:03:21 00:00:00 ,32.62163861
2001:03:21 03:00:00 ,32.64676775
2001:03:21 06:00:00 ,32.59641083
2001:03:21 09:00:00 ,32.6633992
2001:03:21 12:00:00 ,32.62949333
2001:03:21 15:00:00 ,32.64781638
2001:03:21 18:00:00 ,32.64979003
2001:03:21 21:00:00 ,32.61858305
2001:03:22 00:00:00 ,32.66776083
2001:03:22 03:00:00 ,32.6101004
2001:03:22 06:00:00 ,32.65632749
2001:03:22 09:00:00 ,32.65906783
2001:03:22 12:00:00 ,32.61258729
2001:03:22 15:00:00 ,32.68491104
2001:03:22 18:00:00 ,32.6056275
2001:03:22 21:00:00 ,32.65791638
2001:03:23 00:00:00 ,32.64299552
2001:03:23 03:00:00 ,32.63636638
2001:03:23 06:00:00 ,32.67070505
2001:03:23 09:00:00 ,32.63920864
2001:03:23 12:00:00 ,32.65444548
2001:03:23 15:00:00 ,32.64379559
2001:03:23 18:00:00 ,32.63756083
2001:03:23 21:00:00 ,32.66629847
2001:03:24 00:00:00 ,32.61511083
2001:03:24 03:00:00 ,32.66485644
2001:03:24 06:00:00 ,32.64595179
2001:03:24 09:00:00 ,32.6440576
2001:03:24 12:00:00 ,32.66120077
2001:03:24 15:00:00 ,32.61788077
2001:03:24 18:00:00 ,32.66403951
2001:03:24 21:00:00 ,32.66525527
2001:03:25 00:00:00 ,32.62660527
2001:03:25 03:00:00 ,32.67072674
2001:03:25 06:00:00 ,32.62583305
2001:03:25 09:00:00 ,32.63560224
2001:03:25 12:00:00 ,32.65378305
2001:03:25 15:00:00 ,32.62459416
2001:03:25 18:00:00 ,32.64924287
2001:03:25 21:00:00 ,32.63674972
2001:03:26 00:00:00 ,32.62395573
2001:03:26 03:00:00 ,32.63997908
2001:03:26 06:00:00 ,32.66145133
2001:03:26 09:00:00 ,32.62560392
2001:03:26 12:00:00 ,32.62956083
2001:03:26 15:00:00 ,32.65747583
2001:03:26 18:00:00 ,32.62920527
2001:03:26 21:00:00 ,32.6670758
2001:03:27 00:00:00 ,32.66268509
2001:03:27 03:00:00 ,32.63470527
2001:03:27 06:00:00 ,32.64572156
2001:03:27 09:00:00 ,32.66311083
2001:03:27 12:00:00 ,32.62070357
2001:03:27 15:00:00 ,32.65798305
2001:03:27 18:00:00 ,32.62858861
2001:03:27 21:00:00 ,32.55239972
2001:03:28 00:00:00 ,32.50749972
2001:03:28 03:00:00 ,32.46720097
2001:03:28 06:00:00 ,32.47218861
2001:03:28 09:00:00 ,32.45094417
2001:03:28 12:00:00 ,32.4555947
2001:03:28 15:00:00 ,32.44730528
2001:03:28 18:00:00 ,32.45274064
2001:03:28 21:00:00 ,32.44648861
2001:03:29 00:00:00 ,32.45169417
